grafo,versao_algoritmo,rodada,tempo_execucao,qtde_nos_ant,qtde_nos_dps,grau_max_ant,grau_max_dps,r_ant,r_dps
pl_grg_00250_2.al,2,3,0.0,240,159,15,14,23026,23026
pl_grg_00250_2.al,2,4,0.0,240,159,15,14,23026,23026
pl_grg_00250_3.al,2,0,0.0,240,159,13,12,23026,23026
pl_grg_00250_3.al,2,1,0.0,240,159,13,12,23026,23026
pl_grg_00250_3.al,2,2,1.0001659393310547,240,159,13,12,23026,23026
pl_grg_00250_3.al,2,3,0.0,240,159,13,12,23026,23026
pl_grg_00250_3.al,2,4,0.0,240,159,13,12,23026,23026
pl_grg_00250_4.al,2,0,1.0006427764892578,240,145,20,19,27632,27632
pl_grg_00250_4.al,2,1,0.0,240,145,20,19,27632,27632
pl_grg_00250_4.al,2,2,0.0,240,145,20,19,27632,27632
pl_grg_00250_4.al,2,3,0.0,240,145,20,19,27632,27632
pl_grg_00250_4.al,2,4,0.0,240,145,20,19,27632,27632
pl_grg_00500_0.al,2,0,0.0,486,301,19,19,27632,27632
pl_grg_00500_0.al,2,1,0.9999275207519531,486,301,19,19,27632,27632
pl_grg_00500_0.al,2,2,0.0,486,301,19,19,27632,27632
pl_grg_00500_0.al,2,3,1.0001659393310547,486,301,19,19,27632,27632
pl_grg_00500_0.al,2,4,0.0,486,301,19,19,27632,27632
pl_grg_00500_1.al,2,0,0.0,486,287,19,19,27632,27632
pl_grg_00500_1.al,2,1,1.0006427764892578,486,287,19,19,27632,27632
pl_grg_00500_1.al,2,2,0.0,486,287,19,19,27632,27632
pl_grg_00500_1.al,2,3,0.0,486,287,19,19,27632,27632
pl_grg_00500_1.al,2,4,1.0001659393310547,486,287,19,19,27632,27632
pl_grg_00500_2.al,2,0,1.0006427764892578,486,311,18,16,27632,23026
pl_grg_00500_2.al,2,1,0.0,486,311,18,16,27632,23026
pl_grg_00500_2.al,2,2,1.0001659393310547,486,311,18,16,27632,23026
pl_grg_00500_2.al,2,3,0.0,486,311,18,16,27632,23026
pl_grg_00500_2.al,2,4,0.9999275207519531,486,311,18,16,27632,23026
pl_grg_00500_3.al,2,0,1.0006427764892578,486,290,25,20,27632,27632
pl_grg_00500_3.al,2,1,0.0,486,290,25,20,27632,27632
pl_grg_00500_3.al,2,2,0.0,486,290,25,20,27632,27632
pl_grg_00500_3.al,2,3,1.0004043579101562,486,290,25,20,27632,27632
pl_grg_00500_3.al,2,4,0.0,486,290,25,20,27632,27632
pl_grg_00500_4.al,2,0,0.0,486,297,21,18,27632,27632
pl_grg_00500_4.al,2,1,1.0001659393310547,486,297,21,18,27632,27632
pl_grg_00500_4.al,2,2,0.0,486,297,21,18,27632,27632
pl_grg_00500_4.al,2,3,1.0001659393310547,486,297,21,18,27632,27632
pl_grg_00500_4.al,2,4,0.0,486,297,21,18,27632,27632
pl_grg_01000_0.al,2,0,1.0004043579101562,982,628,23,21,27632,27632
pl_grg_01000_0.al,2,1,1.0001659393310547,982,628,23,21,27632,27632
pl_grg_01000_0.al,2,2,0.0,982,628,23,21,27632,27632
pl_grg_01000_0.al,2,3,0.0,982,628,23,21,27632,27632
pl_grg_01000_0.al,2,4,1.0004043579101562,982,628,23,21,27632,27632
pl_grg_01000_1.al,2,0,1.0001659393310547,982,599,23,22,27632,27632
pl_grg_01000_1.al,2,1,0.0,982,599,23,22,27632,27632
pl_grg_01000_1.al,2,2,0.0,982,599,23,22,27632,27632
pl_grg_01000_1.al,2,3,1.0001659393310547,982,599,23,22,27632,27632
pl_grg_01000_1.al,2,4,1.0001659393310547,982,599,23,22,27632,27632
pl_grg_01000_2.al,2,0,1.0004043579101562,982,634,25,24,27632,27632
pl_grg_01000_2.al,2,1,1.0001659393310547,982,634,25,24,27632,27632
pl_grg_01000_2.al,2,2,1.0001659393310547,982,634,25,24,27632,27632
pl_grg_01000_2.al,2,3,1.0001659393310547,982,634,25,24,27632,27632
pl_grg_01000_2.al,2,4,1.0004043579101562,982,634,25,24,27632,27632
pl_grg_01000_3.al,2,0,1.0004043579101562,982,592,26,25,27632,27632
pl_grg_01000_3.al,2,1,1.0001659393310547,982,592,26,25,27632,27632
pl_grg_01000_3.al,2,2,1.0001659393310547,982,592,26,25,27632,27632
pl_grg_01000_3.al,2,3,1.0004043579101562,982,592,26,25,27632,27632
pl_grg_01000_3.al,2,4,1.0001659393310547,982,592,26,25,27632,27632
pl_grg_01000_4.al,2,0,1.0001659393310547,982,613,30,25,27632,27632
pl_grg_01000_4.al,2,1,1.0001659393310547,982,613,30,25,27632,27632
pl_grg_01000_4.al,2,2,0.0,982,613,30,25,27632,27632
pl_grg_01000_4.al,2,3,0.0,982,613,30,25,27632,27632
pl_grg_01000_4.al,2,4,1.0001659393310547,982,613,30,25,27632,27632
pl_grg_02000_0.al,2,0,2.0008087158203125,1975,1285,32,29,27632,27632
pl_grg_02000_0.al,2,1,2.0003318786621094,1975,1285,32,29,27632,27632
pl_grg_02000_0.al,2,2,1.0004043579101562,1975,1285,32,29,27632,27632
pl_grg_02000_0.al,2,3,2.0003318786621094,1975,1285,32,29,27632,27632
pl_grg_02000_0.al,2,4,2.0003318786621094,1975,1285,32,29,27632,27632
pl_grg_02000_1.al,2,0,2.000570297241211,1975,1279,31,30,27632,27632
pl_grg_02000_1.al,2,1,2.000570297241211,1975,1279,31,30,27632,27632
pl_grg_02000_1.al,2,2,1.0004043579101562,1975,1279,31,30,27632,27632
pl_grg_02000_1.al,2,3,0.9999275207519531,1975,1279,31,30,27632,27632
pl_grg_02000_1.al,2,4,2.000570297241211,1975,1279,31,30,27632,27632
pl_grg_02000_2.al,2,0,1.0004043579101562,1975,1296,32,29,27632,27632
pl_grg_02000_2.al,2,1,2.001047134399414,1975,1296,32,29,27632,27632
pl_grg_02000_2.al,2,2,2.0003318786621094,1975,1296,32,29,27632,27632
pl_grg_02000_2.al,2,3,1.0001659393310547,1975,1296,32,29,27632,27632
pl_grg_02000_2.al,2,4,2.0003318786621094,1975,1296,32,29,27632,27632
pl_grg_02000_3.al,2,0,2.0003318786621094,1975,1275,32,30,27632,27632
pl_grg_02000_3.al,2,1,0.9999275207519531,1975,1275,32,30,27632,27632
pl_grg_02000_3.al,2,2,1.0001659393310547,1975,1275,32,30,27632,27632
pl_grg_02000_3.al,2,3,2.0003318786621094,1975,1275,32,30,27632,27632
pl_grg_02000_3.al,2,4,2.000570297241211,1975,1275,32,30,27632,27632
pl_grg_02000_4.al,2,0,2.0003318786621094,1975,1242,33,29,32237,27632
pl_grg_02000_4.al,2,1,1.0001659393310547,1975,1242,33,29,32237,27632
pl_grg_02000_4.al,2,2,0.9999275207519531,1975,1242,33,29,32237,27632
pl_grg_02000_4.al,2,3,1.0001659393310547,1975,1242,33,29,32237,27632
pl_grg_02000_4.al,2,4,2.0003318786621094,1975,1242,33,29,32237,27632
pl_grg_04000_0.al,2,0,3.000497817993164,3968,2531,45,40,32237,32237
